iem_cd,iem_krl_nm,btp_cfc_cd,mkt_pr_tal_scl_tp_cd,stk_dit_cd
A001720,신영증권,02,02,99
A001740,SK네트웍스,07,02,01
A001745,SK네트웍스우,07,99,99
A001750,한양증권,02,03,99
A001755,한양증권우,02,99,99
A002005,생고뱅코리아홀딩스1우,14,99,99
A002025,코오롱우,02,99,99
A002250,알보젠코리아,14,03,99
A002350,넥센타이어,12,02,01
A002355,넥센타이어1우B,12,99,99
A002390,한독,08,03,99
A002410,범양건영,01,03,99
A002450,삼익악기,14,03,99
A002600,조흥,14,03,99
A002680,한탑,10,03,99
A002760,보락,12,03,99
A002780,진흥기업,01,03,99
A002787,진흥기업2우B,01,99,99
A002800,신신제약,10,03,99
A002870,신풍제지,10,03,99
A002960,한국쉘석유,12,03,99
A003080,성보화학,12,03,99
A003100,선광,06,03,99
A003230,삼양식품,14,02,01
A003240,태광산업,12,02,01
A003350,한국화장품제조,12,03,99
A003470,유안타증권,02,02,99
A003475,유안타증권우,02,99,99
A003495,대한항공우,06,99,99
A003520,영진약품,08,02,01
A003610,방림,14,03,99
A003720,삼영화학,12,03,99
A003920,남양유업,14,03,99
A003960,사조대림,14,03,99
A004130,대덕GDS,14,02,99
A004150,한솔홀딩스,02,03,99
A004270,남성,07,03,99
A004360,세방,06,03,99
A004370,농심,14,02,01
A004415,서울식품우,14,99,99
A004565,현대비앤지스틸우,11,99,99
A004700,조광피혁,14,03,99
A004710,한솔테크닉스,09,03,99
A004770,써니전자,09,03,99
A004920,씨아이테크,14,03,99
A005030,부산주공,06,03,99
A005070,코스모신소재,12,02,99
A005160,동국산업,10,03,99
A005190,동성화학,12,03,99
A005300,롯데칠성,14,02,01
A005420,코스모화학,12,03,99
A005430,한국공항,06,03,99
A005440,현대그린푸드,07,02,01
A005450,신한,14,03,99
A005500,삼진제약,08,03,99
A005750,대림B&Co,11,03,99
A005810,풍산홀딩스,02,03,99
A005860,한일사료,10,03,99
A005950,이수화학,12,03,99
A005960,동부건설,01,03,99
A005965,동부건설우,01,99,99
A006220,제주은행,02,03,99
A006340,대원전선,09,03,99
A006360,GS건설,01,01,01
A006405,삼성SDI우,09,99,99
A006800,미래에셋증권,02,01,01
A006880,신송홀딩스,07,03,99
A006910,보성파워텍,10,03,99
A006980,우성사료,14,03,99
A007690,국도화학,12,03,99
A008110,대동전자,09,03,99
A008260,NI스틸,11,03,99
A008350,남선알미늄,11,02,99
A008355,남선알미우,11,99,99
A008420,문배철강,11,03,99
A008500,일정실업,14,03,99
A008700,아남전자,09,03,99
A008730,율촌화학,12,02,99
A008870,금비,11,03,99
A009140,경인전자,09,03,99
A009190,대양금속,11,03,99
A009200,무림페이퍼,10,03,99
A009240,한샘,07,02,01
A009415,태영건설우,01,99,99
A009520,포스코엠텍,10,03,99
A009540,한국조선해양,06,01,01
A009730,코센,10,03,99
A009770,삼정펄프,10,03,99
A009835,한화솔루션우,12,99,99
A010040,한국내화,11,03,99
A010120,LS ELECTRIC,09,02,01
A010145,삼성중공우,06,99,99
A010400,우진아이엔에스,01,03,99
A010420,한솔PNS,07,03,99
A010470,오리콤,05,03,99
A010600,웰바이오텍,07,03,99
A010780,아이에스동서,11,02,01
A010820,퍼스텍,03,03,99
A010955,S-Oil우,12,99,99
A011320,유니크,10,03,99
A011390,부산산업,11,03,99
A011420,갤럭시아에스엠,05,03,99
A011500,한농화성,12,03,99
A011790,SKC,12,01,01
A011930,신성이엔지,09,02,99
A012205,계양전기우,03,99,99
A012320,경동인베스트,02,03,99
A012510,더존비즈온,05,01,99
A012700,리드코프,07,03,99
A012790,신일제약,10,02,99
A012800,대창,11,03,99
A012860,모베이스전자,10,03,99
A013890,지누스,14,02,01
A014160,대영포장,10,03,99
A014190,원익큐브,07,03,99
A014440,영보화학,12,03,99
A014570,고려제약,10,03,99
A014820,동원시스템즈,12,02,01
A014825,동원시스템즈우,12,99,99
A014910,성문전자,09,03,99
A014990,인디에프,14,03,99
A015230,대창단조,06,03,99
A015360,예스코홀딩스,02,03,99
A015590,큐로,03,03,99
A015750,성우하이텍,10,02,02
A015890,태경산업,12,03,99
A016090,대현,14,03,99
A016450,한세예스24홀딩스,14,03,99
A016880,웅진,02,03,99
A017180,명문제약,08,03,99
A017480,삼현철강,10,03,99
A017800,현대엘리베이,03,02,01
A017810,풀무원,14,02,99
A017890,한국알콜,10,02,99
A017900,광전자,09,03,99
A018250,애경산업,12,02,99
A018260,삼성에스디에스,05,01,01
A018310,삼목에스폼,10,03,99
A018680,서울제약,10,03,99
A018700,바른손,05,03,99
A019010,베뉴지,07,03,99
A019685,대교우B,05,99,99
A020000,한섬,14,02,01
A020180,대신정보통신,13,03,99
A020400,대동금속,10,03,99
A021040,대호특수강,10,03,99
A021820,세원정공,06,03,99
A022100,포스코 ICT,05,01,02
A023000,삼원강재,06,03,99
A023430,아이이,14,02,99
A023440,제일제강,10,03,99
A023530,롯데쇼핑,07,01,01
A023770,플레이위드,13,03,99
A023800,인지컨트롤스,06,03,99
A024060,흥구석유,07,03,99
A024090,디씨엠,11,03,99
A024120,KB오토시스,10,03,99
A024740,한일단조,10,03,99
A024830,세원물산,10,03,99
A024880,케이피에프,10,03,99
A024890,대원화성,12,03,99
A025320,시노펙스,13,02,99
A025440,대성엘텍,10,03,99
A025560,미래산업,08,03,99
A025900,동화기업,10,01,02
A025980,아난티,14,01,02
A026180,현대정보기술,14,03,99
A026260,위너지스,14,03,99
A027050,코리아나,10,03,99
A02826K,삼성물산우B,07,99,99
A030720,동원수산,14,03,99
A030790,비케이탑스,05,03,99
A031330,에스에이엠티,07,02,99
A032280,삼일,06,03,99
A032300,한국파마,10,02,99
A032500,케이엠더블유,13,01,02
A032640,LG유플러스,04,01,01
A032800,판타지오,05,03,99
A032940,원익,07,03,99
A032980,바이온,07,03,99
A033100,제룡전기,13,03,99
A033270,유나이티드제약,08,02,99
A033290,코웰패션,07,02,02
A033430,디에스티,10,03,99
A033560,블루콤,13,03,99
A033660,우리금융캐피탈,02,02,99
A033790,스카이문스테크놀로지,13,03,99
A034810,해성산업,05,03,99
A034830,한국토지신탁,02,02,99
A034950,한국기업평가,05,02,99
A035150,백산,12,03,99
A035200,프럼파스트,10,03,99
A035460,기산텔레콤,13,03,99
A035480,글로앤웰,14,03,99
A035510,신세계 I&C,05,03,99
A035600,KG이니시스,13,02,02
A035610,솔본,05,03,99
A035620,바른손이앤에이,05,03,99
A035760,CJ ENM,04,01,02
A035810,이지홀딩스,10,02,99
A035900,JYP Ent.,05,01,02
A036000,예림당,10,03,99
A036030,케이티알파,07,02,99
A036170,클라우드에어,13,03,99
A036260,이매진아시아,05,03,99
A036420,제이콘텐트리,05,02,99
A036540,SFA반도체,13,01,02
A036710,심텍홀딩스,13,03,99
A036800,나이스정보통신,04,02,99
A036830,솔브레인홀딩스,10,01,02
A037030,파워넷,10,03,99
A037330,인지디스플레,13,03,99
A037560,LG헬로비전,05,03,99
A037620,미래에셋증권,14,99,99
A038070,서린바이오,07,03,99
A038160,팍스넷,02,03,99
A038530,골드퍼시픽,07,03,99
A039740,한국정보공학,07,03,99
A041190,우리기술투자,02,02,02
A041440,현대에버다임,10,03,99
A041510,에스엠,05,01,02
A041920,메디아나,10,03,99
A042420,네오위즈홀딩스,13,03,99
A042510,라온시큐어,13,03,99
A042600,새로닉스,13,03,99
A042660,대우조선해양,06,01,01
A042670,두산인프라코어,03,02,01
A043100,솔고바이오,10,03,99
A043260,성호전자,13,03,99
A043590,크로바하이텍,13,03,99
A044340,위닉스,10,02,02
A045340,토탈소프트,13,03,99
A045390,대아티아이,10,02,02
A046140,SBS콘텐츠허브,05,03,99
A046210,파나진,10,03,99
A046890,서울반도체,13,01,02
A046970,우리로,07,03,99
A047050,포스코인터내셔널,07,02,01
A048260,오스템임플란트,10,01,02
A048410,현대바이오,10,01,02
A048430,유라테크,10,03,99
A048530,인트론바이오,10,01,02
A048550,SM C&C,04,03,99
A049430,코메론,10,03,99
A049450,지아이티,14,99,99
A049480,오픈베이스,13,03,99
A050090,휘닉스소재,13,03,99
A050120,ES큐브,07,03,99
A051170,썬코어,14,03,99
A051370,인터플렉스,13,02,99
A051380,피씨디렉트,07,03,99
A051490,나라엠앤디,10,03,99
A051910,LG화학,12,01,01
A051980,중앙디앤엠,10,03,99
A052300,초록뱀컴퍼니,06,03,99
A052400,코나아이,13,02,99
A052710,아모텍,13,02,99
A052860,아이앤씨,13,03,99
A053030,바이넥스,10,01,02
A053300,한국정보인증,13,02,99
A053980,오상자이엘,13,03,99
A054340,피앤텔,14,03,99
A054670,대한뉴팜,10,03,99
A054930,유신,05,03,99
A056090,유앤아이,10,03,99
A056360,코위버,13,03,99
A057880,피에이치씨,07,03,99
A058370,비엔씨컴퍼니,14,03,99
A058450,일야,13,03,99
A058650,세아홀딩스,11,03,99
A058820,CMG제약,10,01,02
A058970,엠로,14,99,99
A059100,아이컴포넌트,13,03,99
A060280,큐렉소,07,02,99
A060370,KT서브마린,01,03,99
A061970,엘비세미콘,13,02,02
A063080,게임빌,13,02,99
A063170,서울옥션,07,03,99
A063760,이엘피,13,03,99
A064240,홈캐스트,13,03,99
A064820,케이프,10,03,99
A064850,에프앤가이드,05,03,99
A065150,엠피대산,07,03,99
A065170,넥스트BT,07,03,99
A065370,위세아이텍,10,03,99
A065500,오리엔트정공,10,03,99
A065680,우주일렉트로,13,02,99
A066570,LG전자,09,01,01
A066620,국보디자인,01,03,99
A066700,테라젠이텍스,10,02,99
A066900,디에이피,13,03,99
A067000,조이시티,13,02,99
A067630,에이치엘비생명과학,05,01,02
A067730,로지시스,13,03,99
A068240,다원시스,13,02,02
A068870,LG생명과학,14,99,99
A068930,디지털대성,05,03,99
A069260,휴켐스,12,02,01
A069330,유아이디,13,03,99
A069410,엔텔스,13,03,99
A070590,한솔인티큐브,13,03,99
A071840,롯데하이마트,07,02,01
A071850,캐스텍코리아,10,03,99
A073010,케이에스피,10,03,99
A073070,에이팸,10,03,99
A073540,에프알텍,13,03,99
A074600,원익QnC,10,02,99
A075580,세진중공업,06,03,99
A077280,한컴지엠디,14,03,99
A077500,유니퀘스트,07,03,99
A078160,메디포스트,10,02,02
A078350,한양디지텍,13,03,99
A078600,대주전자재료,13,01,02
A078935,GS우,02,99,99
A079160,CJ CGV,05,02,01
A079550,LIG넥스원,03,02,01
A079960,동양이엔피,13,03,99
A080440,에스제이케이,07,03,99
A081660,휠라홀딩스,07,01,01
A082640,동양생명,02,02,99
A082800,비보존 헬스케어,13,02,99
A083500,에프엔에스테크,10,03,99
A083640,인콘,13,03,99
A083660,CSA 코스믹,10,03,99
A084180,수성이노베이션,10,03,99
A084370,유진테크,13,01,02
A084650,랩지노믹스,05,03,99
A084850,아이티엠반도체,13,01,02
A085310,엔케이,03,03,99
A085370,루트로닉,10,02,99
A08537M,루트로닉3우C,10,99,99
A085810,알티캐스트,13,03,99
A086060,진바이오텍,10,03,99
A086250,이노와이즈,10,03,99
A086390,유니테스트,13,02,99
A086670,비엠티,10,03,99
A086710,선진뷰티사이언스,14,99,99
A086820,바이오솔루션,10,02,99
A086830,신양오라컴,14,03,99
A086890,이수앱지스,10,02,99
A086900,메디톡스,10,01,02
A087010,펩트론,10,02,99
A087600,픽셀플러스,13,03,99
A088130,동아엘텍,10,03,99
A088390,이녹스,10,03,99
A088790,진도,07,03,99
A089150,케이씨티,13,03,99
A089230,THE E&M,13,03,99
A089890,코세스,13,03,99
A089970,에이피티씨,10,02,99
A089980,상아프론테크,10,01,02
A090360,로보스타,10,03,99
A090430,아모레퍼시픽,12,01,01
A090740,연이비앤티,13,03,99
A091090,세원이앤씨,03,03,99
A091170,KODEX 은행,14,99,99
A091230,TIGER 반도체,14,99,99
A091440,텔레필드,13,03,99
A091590,남화토건,01,03,99
A091810,티웨이항공,06,03,99
A091970,나노캠텍,10,03,99
A092130,이크레더블,05,02,99
A092440,기신정기,03,03,99
A092730,네오팜,10,02,99
A092870,엑시콘,13,03,99
A093050,LF,14,02,99
A093240,형지엘리트,14,03,99
A093520,매커스,07,03,99
A094170,동운아나텍,13,03,99
A094190,이엘케이,14,03,99
A094480,갤럭시아머니트리,13,03,99
A094850,참좋은여행,05,03,99
A094970,제이엠티,13,03,99
A095570,AJ네트웍스,05,03,99
A095660,네오위즈,13,02,99
A096350,대창솔루션,10,03,99
A096610,알에프세미,13,03,99
A097230,한진중공업,01,02,99
A097800,윈팩,13,03,99
A098560,TIGER 방송통신,14,99,99
A098660,에스티오,10,03,99
A099410,동방선기,10,03,99
A099440,스맥,10,03,99
A099660,신텍,14,03,99
A100130,동국S&C,10,02,02
A101000,상상인인더스트리,10,03,99
A101390,아이엠,13,03,99
A101400,엔시트론,13,03,99
A101930,인화정공,10,03,99
A102260,동성케미컬,05,03,99
A102970,KODEX 증권,14,99,99
A103590,일진전기,09,03,99
A104530,KOSEF 고배당,14,99,99
A105190,KINDEX 200,14,99,99
A105560,KB금융,02,01,01
A105840,우진,08,03,99
A106190,하이텍팜,07,03,99
A106240,파인테크닉스,13,03,99
A108380,대양전기공업,10,03,99
A108670,LX하우시스,12,02,01
A110990,디아이티,13,03,99
A111770,영원무역,07,02,01
A112040,위메이드,13,01,02
A113300,세명테크,14,99,99
A114090,GKL,05,02,01
A114120,크루셜텍,13,03,99
A114800,KODEX 인버스,14,99,99
A115960,연우,10,02,99
A117670,알파홀딩스,13,03,99
A117690,TIGER 차이나항셍25,14,99,99
A119500,포메탈,10,03,99
A119610,인터로조,10,02,99
A119850,지엔씨에너지,10,03,99
A119860,다나와,13,02,02
A120110,코오롱인더,12,02,01
A121440,골프존뉴딘홀딩스,07,02,99
A121800,비덴트,13,02,99
A122090,ARIRANG 코스피50,14,99,99
A122350,삼기,10,03,99
A122900,아이마켓코리아,07,03,99
A123320,TIGER 레버리지,14,99,99
A123330,제닉,10,03,99
A123570,이엠넷,05,03,99
A123690,한국화장품,07,03,99
A123700,SJM,06,03,99
A123780,레오모터스,14,99,99
A123890,한국자산신탁,02,02,99
A124560,태웅로직스,06,03,99
A125210,아모그린텍,13,02,99
A126600,코프라,10,03,99
A126700,하이비젼시스템,10,03,99
A127710,아시아경제,13,03,99
A128540,에코캡,10,03,99
A129260,인터지스,06,03,99
A131030,디에이치피코리아,10,03,99
A131180,딜리,13,03,99
A131400,이브이첨단소재,13,03,99
A133750,메가엠디,05,03,99
A136490,선진,14,03,99
A138520,TIGER 삼성그룹펀더멘털,14,99,99
A138580,비즈니스온,13,03,99
A139260,TIGER 200 IT,14,99,99
A139290,TIGER 200 경기소비재,14,99,99
A140410,메지온,05,01,02
A142280,녹십자엠에스,10,02,99
A142760,바이오리더스,05,03,99
A143210,핸즈코퍼레이션,06,03,99
A143540,영우디에스피,13,03,99
A145020,휴젤,10,01,02
A145990,삼양사,14,02,99
A147760,마이크로프랜드,10,03,99
A147970,TIGER 모멘텀,14,99,99
A148250,알엔투테크놀로지,13,03,99
A152330,코리아오토글라스,14,03,99
A153490,우리이앤엘,13,03,99
A154040,솔루에타,13,03,99
A156100,엘앤케이바이오,10,02,99
A158310,참존글로벌,10,03,99
A159580,제로투세븐,07,03,99
A160550,NEW,05,03,99
A161510,ARIRANG 고배당주,14,99,99
A163290,수양켐텍,14,99,99
A163560,동일고무벨트,12,03,99
A164060,이루다,10,03,99
A168580,KINDEX 중국본토CSI300,14,99,99
A169140,경인자기관리부동산투자회사,14,99,99
A171120,라이온켐텍,10,03,99
A174350,TIGER 로우볼,14,99,99
A174900,앱클론,10,02,99
A175140,인포마크,13,03,99
A176440,에이치엔티,13,03,99
A177350,베셀,13,03,99
A177830,파버나인,10,03,99
A177850,무한비트,14,99,99
A178920,PI첨단소재,10,99,99
A179090,이카이스,14,99,99
A180400,캔서롭,05,03,99
A18064K,한진칼우,06,99,99
A183300,코미코,13,02,99
A187660,에이디엠코리아,14,99,99
A187790,나노,10,03,99
A189400,ARIRANG 글로벌MSCI(합성 H),14,99,99
A189690,포시에스,13,03,99
A189860,서전기전,10,03,99
A189980,흥국에프엔비,10,03,99
A190650,코리아에셋투자증권,02,03,99
A191410,육일씨엔에쓰,13,03,99
A191420,테고사이언스,10,02,99
A192440,슈피겐코리아,13,02,02
A192820,코스맥스,12,02,01
A194370,제이에스코퍼레이션,14,03,99
A194480,데브시스터즈,13,02,02
A194610,우성아이비,14,03,99
A195870,해성디에스,09,02,99
A195970,ARIRANG 선진국MSCI(합성 H),14,99,99
A195980,ARIRANG 신흥국MSCI(합성 H),14,99,99
A198440,고려시멘트,10,03,99
A200020,KODEX 미국S&P IT(합성),14,99,99
A200040,KODEX 미국S&P금융(합성),14,99,99
A200710,에이디테크놀로지,13,02,99
A200780,비씨월드제약,10,03,99
A200880,서연이화,06,03,99
A204270,제이앤티씨,10,02,02
A204450,KODEX China H 레버리지(H),14,99,99
A204480,TIGER 차이나CSI300레버리지(합성),14,99,99
A204630,스튜디오산타클로스,05,03,99
A205500,액션스퀘어,13,03,99
A205720,KINDEX 일본TOPIX인버스(합성 H),14,99,99
A206400,베노홀딩스,13,03,99
A208350,지란지교시큐리티,10,03,99
A208640,썸에이지,10,03,99
A210160,팍스넷경제티브이,14,99,99
A212560,네오오토,10,03,99
A213610,KODEX 삼성그룹밸류,14,99,99
A214320,이노션,05,02,01
A215090,휴센텍,10,03,99
A215790,이노인스트루먼트,13,03,99
A216080,제테마,10,02,99
A217620,디딤,14,03,99
A217790,TIGER 가격조정,14,99,99
A218150,미래생명자원,10,03,99
A220130,SOL 중국본토 중소형 CSI500(합성 H),14,99,99
A222080,씨아이에스,10,01,02
A222420,쎄노텍,10,03,99
A222810,마이더스AI,13,03,99
A223250,드림씨아이에스,05,03,99
A224060,코디엠,13,03,99
A224110,에이텍티앤,13,03,99
A225430,케이엠제약,10,03,99
A226360,KH E&T,01,03,99
A226490,KODEX 코스피,14,99,99
A227100,H&B디자인,10,03,99
A228340,동양파일,10,03,99
A228760,지노믹트리,10,02,99
A228850,레이언스,10,03,99
A228980,지엔티파마,14,99,99
A230980,에이트원,10,03,99
A232140,와이아이케이,13,02,99
A234340,세틀뱅크,13,02,99
A234760,고위드,14,99,99
A234920,자이글,10,03,99
A236200,슈프리마,10,03,99
A236460,ARIRANG 스마트베타 LowVOL,14,99,99
A238670,ARIRANG 스마트베타Quality채권혼합,14,99,99
A239280,필로시스,14,99,99
A241710,코스메카코리아,10,03,99
A241770,메카로,13,03,99
A241820,피씨엘,10,02,99
A242040,나무기술,10,03,99
A24251Q,발레앤모델6우,14,99,99
A243880,TIGER 200IT레버리지,14,99,99
A244460,올리패스,10,02,99
A244660,KODEX 퀄리티Plus,14,99,99
A244670,KODEX 밸류Plus,14,99,99
A244820,ARIRANG 스마트베타4종결합,14,99,99
A245360,TIGER 차이나HSCEI,14,99,99
A245620,EDGC,05,02,99
A246720,아스타,10,03,99
A247800,KODEX 턴어라운드투자,14,99,99
A249680,메디오젠,14,99,99
A250990,씨티씨생명과학,14,99,99
A251350,KODEX 선진국MSCI World,14,99,99
A251630,브이원텍,10,03,99
A252410,KBSTAR 200선물인버스,14,99,99
A252500,세화피앤씨,10,03,99
A252670,KODEX 200선물인버스2X,14,99,99
A252730,KBSTAR 모멘텀로우볼,14,99,99
A253590,네오셈,13,03,99
A253840,수젠텍,10,02,99
A254650,성보,14,99,99
A255220,SG,10,03,99
A255440,야스,13,03,99
A256840,한국비엔씨,10,02,99
A256940,케이피에스,13,02,99
A257730,신한제3호스팩,14,03,99
A258340,센트롤,14,99,99
A258790,소프트캠프,10,03,99
A258890,미라셀,14,99,99
A259630,엠플러스,10,03,99
A260200,KOSEF 배당바이백Plus,14,99,99
A261780,차백신연구소,14,99,99
A261920,KINDEX 필리핀MSCI(합성),14,99,99
A263050,유틸렉스,10,02,02
A263600,덕우전자,10,03,99
A263700,케어랩스,13,03,99
A263770,유에스티,10,03,99
A263810,상신전자,10,03,99
A264450,유비쿼스,13,03,99
A265690,KINDEX 러시아MSCI(합성),14,99,99
A265740,엔에프씨,10,99,99
A266360,KODEX 미디어&엔터테인먼트,14,99,99
A266370,KODEX IT,14,99,99
A266410,KODEX 필수소비재,14,99,99
A266420,KODEX 헬스케어,14,99,99
A266930,비바이오,14,99,99
A268280,미원에스씨,12,02,99
A269370,TIGER S&P글로벌인프라(합성),14,99,99
A270870,뉴트리,10,02,99
A271050,KODEX WTI원유선물인버스(H),14,99,99
A272110,케이엔제이,10,03,99
A272210,한화시스템,09,02,01
A272220,KINDEX 스마트모멘텀,14,99,99
A272560,KBSTAR 단기국공채액티브,14,99,99
A275280,KODEX MSCI모멘텀,14,99,99
A276040,스코넥엔터테인먼트,14,99,99
A276650,KBSTAR 글로벌4차산업IT(합성 H),14,99,99
A277480,신한제4호스팩,14,03,99
A277630,TIGER 코스피,14,99,99
A277640,TIGER 코스피대형주,14,99,99
A278420,ARIRANG ESG우수기업,14,99,99
A278470,에이피알,14,99,99
A278530,KODEX 200TR,14,99,99
A279410,한화에이스스팩4호,14,03,99
A279530,KODEX 고배당,14,99,99
A280920,ARIRANG 주도업종,14,99,99
A280930,KODEX 미국러셀2000(H),14,99,99
A281630,에잇퍼센트,14,99,99
A282690,동아타이어,12,03,99
A283580,KODEX 중국본토CSI300,14,99,99
A283970,쿼럼바이오,14,99,99
A284980,KBSTAR 200금융,14,99,99
A285000,KBSTAR 200IT,14,99,99
A285020,KBSTAR 200철강소재,14,99,99
A285130,SK케미칼,12,01,01
A286940,롯데정보통신,05,02,99
A288330,브릿지바이오테라퓨틱스,10,02,99
A289190,제이시스메디칼,14,99,99
A289260,TIGER MSCI KOREA ESG리더스,14,99,99
A290380,대유,10,03,99
A290510,코리아센터,13,02,02
A290550,디케이티,13,03,99
A290720,푸드나무,07,03,99
A291210,한국제7호스팩,02,03,99
A291620,KOSEF 코스닥150선물인버스,14,99,99
A292140,TIGER 중소형가치,14,99,99
A292190,KODEX KRX300,14,99,99
A293490,카카오게임즈,13,01,02
A293580,나우IB,02,03,99
A293780,압타바이오,05,02,99
A294140,레몬,10,02,02
A294570,쿠콘,14,99,99
A295860,ARIRANG 200모멘텀,14,99,99
A297890,HB솔루션,10,03,99
A298020,효성티앤씨,12,02,01
A298130,옥천당,14,99,99
A298540,더네이쳐홀딩스,07,02,99
A299030,하나기술,10,02,99
A29922L,제이어스2우,14,99,99
A300310,KBSTAR KQ모멘텀밸류,14,99,99
A300500,에이디엠,14,99,99
A303030,지니틱스,13,03,99
A304940,KODEX 미국나스닥100선물(H),14,99,99
A305080,TIGER 미국채10년선물,14,99,99
A306130,트렌비,14,99,99
A306200,세아제강,11,03,99
A306520,HANARO 200선물인버스,14,99,99
A306530,HANARO 코스닥150선물레버리지,14,99,99
A306920,정우이앤이,14,99,99
A307070,SK4호스팩,02,03,99
A307180,아이엘사이언스,10,03,99
A307620,TIGER KRX300선물인버스,14,99,99
A308100,까스텔바작,07,03,99
A308620,KODEX 미국채10년선물,14,99,99
A310200,애니플러스,05,03,99
A310870,한국제8호스팩,02,03,99
A311690,천랩,05,03,99
A314130,지놈앤컴퍼니,10,01,99
A31508K,핸드픽트컬렉션즈1우,14,99,99
A315270,TIGER 200커뮤니케이션서비스,14,99,99
A315960,KBSTAR 대형고배당10TR,14,99,99
A316300,KINDEX 싱가포르리츠,14,99,99
A316840,두물머리,14,99,99
A317850,대모,10,03,99
A317870,엔바이오니아,10,03,99
A318140,에스엠티바이오,14,99,99
A318410,비비씨,10,03,99
A318590,스탠다드그래핀,14,99,99
A319810,해머엔터테인먼트,14,99,99
A321410,KODEX 멀티에셋하이인컴(H),14,99,99
A322120,KINDEX 스마트퀄리티,14,99,99
A322310,오로스테크놀로지,14,99,99
A323410,카카오뱅크,14,99,99
A323940,케이비제18호스팩,02,03,99
A328130,루닛,14,99,99
A329660,KODEX TRF5050,14,99,99
A330350,위더스제약,10,03,99
A330990,케이비제19호스팩,02,03,99
A331380,유진스팩5호,02,03,99
A331520,교보9호스팩,02,03,99
A332370,아이디피,13,03,99
A332760,메디헬프라인,14,99,99
A333430,일승,02,03,99
A334970,프레스티지바이오로직스,14,99,99
A33626K,두산퓨얼셀1우,09,99,99
A336570,대신밸런스제8호스팩,02,03,99
A338220,뷰노,14,99,99
A340570,티앤엘,10,03,99
A341160,하나금융15호스팩,02,03,99
A34534K,도남에프앤에프1우,14,99,99
A34695K,케미코첨단소재1우,14,99,99
A347700,라이프시맨틱스,14,99,99
A350990,머드린,14,99,99
A352480,씨앤씨인터내셔널,14,99,99
A352540,KODEX TSE일본리츠(H),14,99,99
A352770,클리노믹스,05,99,99
A35286N,체인파트너스4우,14,99,99
A353070,에이치엠씨제4호스팩,02,03,99
A353490,미래에셋대우스팩 5호,02,03,99
A355410,알앤디아시아,14,99,99
A356890,싸이버원,14,99,99
A35732K,하스퍼1우,14,99,99
A361390,제노코,14,99,99
A361580,KBSTAR 200TR,14,99,99
A361610,SK아이이테크놀로지,14,99,01
A363250,진시스템,14,99,99
A363580,KODEX 200IT TR,14,99,99
A364460,스타콜라보,14,99,99
A365040,TIGER AI코리아그로스액티브,14,99,99
A366330,신한제7호스팩,14,99,99
A367340,DB금융스팩8호,02,99,99
A367800,바이오파마,14,99,99
A371450,TIGER 글로벌클라우드컴퓨팅INDXX,14,99,99
A372330,KODEX 차이나항셍테크,14,99,99
A373200,IBKS제15호스팩,14,99,99
A373790,KOSEF 미국방어배당성장나스닥,14,99,99
A375270,KBSTAR 글로벌데이터센터리츠나스닥(합성),14,99,99
A375760,HANARO 탄소효율그린뉴딜,14,99,99
A376190,엘비루셈,14,99,99
A379660,이브이알스튜디오,14,99,99
A379780,KBSTAR 미국S&P500,14,99,99
A380170,유로셀,14,99,99
A381570,HANARO Fn친환경에너지,14,99,99
A383800,LX홀딩스,14,99,01
A385510,KODEX K-신재생에너지액티브,14,99,99
A385590,네비게이터 ESG액티브,14,99,99
A385660,테이크원컴퍼니,14,99,99
A385710,TIMEFOLIO BBIG액티브,14,99,99
A385720,TIMEFOLIO Kstock액티브,14,99,99
A000040,KR모터스,06,03,99
A000070,삼양홀딩스,02,02,01
A000075,삼양홀딩스우,02,99,99
A000120,CJ대한통운,06,01,01
A000155,두산우,05,99,99
A000240,한국앤컴퍼니,02,02,01
A000270,기아,06,01,01
A000320,노루홀딩스,02,03,99
A000480,조선내화,11,03,99
A000520,삼일제약,08,03,99
A000650,천일고속,06,03,99
A000810,삼성화재,02,01,01
A000860,강남제비스코,12,03,99
A000880,한화,12,02,01
A000885,한화우,12,99,99
A00088K,한화3우B,12,99,99
A000910,유니온,11,03,99
A000950,전방,14,03,99
A000995,DB하이텍1우,09,99,99
A00104K,CJ4우(전환),02,99,99
A001065,JW중외제약우,08,99,99
A001067,JW중외제약2우B,08,99,99
A001080,만호제강,11,03,99
A001120,LX인터내셔널,07,02,01
A001130,대한제분,14,03,99
A001230,동국제강,11,02,01
A001360,삼성제약,08,02,99
A001380,SG글로벌,06,03,99
A001420,태원물산,06,03,99
A001515,SK증권우,02,99,99
A001529,동양3우B,11,99,99
A001530,DI동일,07,03,99
A001540,안국약품,10,03,99
A001550,조비,12,03,99
A001570,금양,12,03,99
A001680,대상,14,02,01
A001685,대상우,14,99,99
A001770,SHD,11,03,99
A001880,DL건설,01,02,99
A002000,생고뱅코리아홀딩스,14,03,99
A002020,코오롱,02,03,99
A002150,도화엔지니어링,05,03,99
A002200,한국수출포장,10,03,99
A002210,동성제약,08,03,99
A002240,고려제강,11,03,99
A002320,한진,06,02,99
A002690,동일제강,11,03,99
A002720,국제약품,08,03,99
A002785,진흥기업우B,01,99,99
A002795,아모레G우,12,99,99
A00279K,아모레G3우(전환),12,99,99
A003000,부광약품,08,02,01
A003060,에이프로젠제약,08,02,99
A003160,디아이,08,03,99
